"Year","Age","mx","qx","ax","lx","dx","Lx","Tx","ex","Country"
1996,75,"0.02799","0.0276","0.5",77172,"2130","76107","935120","12.12","AUS"
1996,76,"0.03012","0.02967","0.5",75042,"2227","73929","859013","11.45","AUS"
1996,77,"0.03514","0.03453","0.5",72815,"2514","71558","785084","10.78","AUS"
1996,78,"0.03996","0.03918","0.5",70301,"2754","68924","713526","10.15","AUS"
1996,79,"0.04445","0.04348","0.5",67547,"2937","66079","644602","9.54","AUS"
1996,80,"0.04886","0.04769","0.5",64610,"3081","63069","578523","8.95","AUS"
1996,81,"0.05633","0.05479","0.5",61529,"3371","59843","515454","8.38","AUS"
1996,82,"0.06196","0.0601","0.5",58158,"3495","56410","455611","7.83","AUS"
1996,83,"0.07063","0.06822","0.5",54662,"3729","52798","399201","7.3","AUS"
1996,84,"0.07801","0.07508","0.5",50933,"3824","49021","346403","6.8","AUS"
1996,85,"0.09313","0.08899","0.5",47109,"4192","45013","297382","6.31","AUS"
1996,86,"0.10232","0.09734","0.5",42917,"4177","40828","252369","5.88","AUS"
1996,87,"0.11402","0.10787","0.5",38740,"4179","36650","211541","5.46","AUS"
1996,88,"0.12444","0.11715","0.5",34561,"4049","32536","174890","5.06","AUS"
1996,89,"0.14402","0.13435","0.5",30512,"4099","28462","142354","4.67","AUS"
1996,90,"0.16216","0.15","0.5",26413,"3962","24432","113892","4.31","AUS"
1996,91,"0.1893","0.17293","0.5",22451,"3882","20509","89460","3.98","AUS"
1996,92,"0.21253","0.19212","0.5",18568,"3567","16785","68951","3.71","AUS"
1996,93,"0.23164","0.2076","0.5",15001,"3114","13444","52166","3.48","AUS"
1996,94,"0.23526","0.2105","0.5",11887,"2502","10636","38722","3.26","AUS"
1996,95,"0.27401","0.241","0.5",9385,"2262","8254","28087","2.99","AUS"
1996,96,"0.30128","0.26184","0.5",7123,"1865","6190","19833","2.78","AUS"
1996,97,"0.33002","0.28328","0.5",5258,"1489","4513","13642","2.59","AUS"
1996,98,"0.3601","0.30515","0.5",3768,"1150","3193","9129","2.42","AUS"
1996,99,"0.39131","0.32728","0.5",2618,"857","2190","5936","2.27","AUS"
1996,100,"0.42344","0.34945","0.5",1762,"616","1454","3746","2.13","AUS"
1996,101,"0.45623","0.37149","0.5",1146,"426","933","2292","2","AUS"
1996,102,"0.4894","0.39319","0.5",720,"283","579","1359","1.89","AUS"
1996,103,"0.52267","0.41438","0.5",437,"181","346","780","1.79","AUS"
1996,104,"0.55574","0.43489","0.5",256,"111","200","434","1.69","AUS"
1996,105,"0.58832","0.4546","0.5",145,"66","112","234","1.61","AUS"
1996,106,"0.62014","0.47337","0.5",79,"37","60","122","1.54","AUS"
1996,107,"0.65097","0.49112","0.5",42,"20","31","62","1.48","AUS"
1996,108,"0.68058","0.50778","0.5",21,"11","16","30","1.43","AUS"
1996,109,"0.7088","0.52333","0.5",10,"5","8","14","1.39","AUS"
1996,110,"0.7355","1","1.36",5,"5","7","7","1.36","AUS"
1997,75,"0.025","0.0247","0.5",77381,"1911","76426","946502","12.23","AUS"
1997,76,"0.0294","0.02897","0.5",75470,"2187","74377","870076","11.53","AUS"
1997,77,"0.03322","0.03268","0.5",73284,"2395","72086","795698","10.86","AUS"
1997,78,"0.03705","0.03637","0.5",70889,"2578","69600","723612","10.21","AUS"
1997,79,"0.0411","0.04027","0.5",68311,"2751","66935","654012","9.57","AUS"
1997,80,"0.04968","0.04847","0.5",65560,"3178","63971","587077","8.95","AUS"
1997,81,"0.05212","0.0508","0.5",62382,"3169","60797","523106","8.39","AUS"
1997,82,"0.06288","0.06097","0.5",59213,"3610","57408","462309","7.81","AUS"
1997,83,"0.06994","0.06758","0.5",55603,"3758","53724","404901","7.28","AUS"
1997,84,"0.0807","0.07757","0.5",51846,"4022","49835","351176","6.77","AUS"
1997,85,"0.08947","0.08564","0.5",47824,"4096","45776","301342","6.3","AUS"
1997,86,"0.10446","0.09928","0.5",43728,"4341","41558","255566","5.84","AUS"
1997,87,"0.11757","0.11105","0.5",39387,"4374","37200","214008","5.43","AUS"
1997,88,"0.12742","0.11979","0.5",35013,"4194","32916","176808","5.05","AUS"
1997,89,"0.14544","0.13558","0.5",30819,"4178","28730","143892","4.67","AUS"
1997,90,"0.16093","0.14894","0.5",26641,"3968","24657","115162","4.32","AUS"
1997,91,"0.18529","0.16958","0.5",22673,"3845","20750","90505","3.99","AUS"
1997,92,"0.20666","0.18731","0.5",18828,"3527","17064","69755","3.7","AUS"
1997,93,"0.22214","0.19993","0.5",15301,"3059","13772","52690","3.44","AUS"
1997,94,"0.25287","0.22449","0.5",12242,"2748","10868","38919","3.18","AUS"
1997,95,"0.27792","0.24401","0.5",9494,"2317","8336","28051","2.95","AUS"
1997,96,"0.30586","0.26529","0.5",7177,"1904","6225","19715","2.75","AUS"
1997,97,"0.3353","0.28716","0.5",5273,"1514","4516","13490","2.56","AUS"
1997,98,"0.36608","0.30944","0.5",3759,"1163","3177","8974","2.39","AUS"
1997,99,"0.398","0.33194","0.5",2596,"862","2165","5796","2.23","AUS"
1997,100,"0.43081","0.35446","0.5",1734,"615","1427","3631","2.09","AUS"
1997,101,"0.46423","0.37678","0.5",1119,"422","909","2205","1.97","AUS"
1997,102,"0.49798","0.39871","0.5",698,"278","559","1296","1.86","AUS"
1997,103,"0.53175","0.42007","0.5",420,"176","331","737","1.76","AUS"
1997,104,"0.56524","0.44069","0.5",243,"107","190","406","1.67","AUS"
1997,105,"0.59813","0.46043","0.5",136,"63","105","216","1.59","AUS"
1997,106,"0.63017","0.47918","0.5",73,"35","56","112","1.52","AUS"
1997,107,"0.6611","0.49686","0.5",38,"19","29","56","1.46","AUS"
1997,108,"0.69071","0.5134","0.5",19,"10","14","27","1.41","AUS"
1997,109,"0.71883","0.52878","0.5",9,"5","7","13","1.37","AUS"
1997,110,"0.74534","1","1.34",4,"4","6","6","1.34","AUS"
1998,75,"0.02511","0.0248","0.5",78403,"1944","77431","981331","12.52","AUS"
1998,76,"0.02857","0.02817","0.5",76459,"2154","75382","903900","11.82","AUS"
1998,77,"0.0323","0.03178","0.5",74305,"2362","73124","828517","11.15","AUS"
1998,78,"0.03552","0.0349","0.5",71944,"2511","70688","755393","10.5","AUS"
1998,79,"0.03936","0.0386","0.5",69433,"2680","68093","684705","9.86","AUS"
1998,80,"0.04713","0.04604","0.5",66752,"3073","65216","616612","9.24","AUS"
1998,81,"0.05208","0.05075","0.5",63679,"3232","62063","551397","8.66","AUS"
1998,82,"0.05592","0.0544","0.5",60447,"3288","58803","489333","8.1","AUS"
1998,83,"0.06752","0.06531","0.5",57159,"3733","55292","430530","7.53","AUS"
1998,84,"0.07922","0.0762","0.5",53426,"4071","51390","375238","7.02","AUS"
1998,85,"0.08568","0.08216","0.5",49355,"4055","47327","323848","6.56","AUS"
1998,86,"0.09293","0.0888","0.5",45300,"4023","43288","276521","6.1","AUS"
1998,87,"0.11059","0.1048","0.5",41277,"4326","39114","233233","5.65","AUS"
1998,88,"0.12293","0.11581","0.5",36951,"4279","34811","194119","5.25","AUS"
1998,89,"0.13382","0.12542","0.5",32672,"4098","30623","159307","4.88","AUS"
1998,90,"0.15291","0.14205","0.5",28574,"4059","26545","128684","4.5","AUS"
1998,91,"0.17133","0.15782","0.5",24515,"3869","22581","102140","4.17","AUS"
1998,92,"0.19575","0.1783","0.5",20646,"3681","18806","79559","3.85","AUS"
1998,93,"0.21383","0.19318","0.5",16965,"3277","15326","60754","3.58","AUS"
1998,94,"0.23622","0.21127","0.5",13688,"2892","12242","45427","3.32","AUS"
1998,95,"0.26401","0.23322","0.5",10796,"2518","9537","33185","3.07","AUS"
1998,96,"0.29092","0.25397","0.5",8278,"2102","7227","23648","2.86","AUS"
1998,97,"0.31937","0.2754","0.5",6176,"1701","5325","16421","2.66","AUS"
1998,98,"0.34925","0.29733","0.5",4475,"1331","3810","11096","2.48","AUS"
